provider_name,source_field,canonical_field,mapping_required,mapping_status,notes
tushare_pro,trade_date,trade_date,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,ts_code,symbol,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,open,open,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,high,high,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,low,low,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,close,close,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,vol,volume,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,amount,amount,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,adj_factor,adjustment_factor,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,turnover_rate,turnover,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,pe_ttm,pe_ttm,true,not_verified,Review-only schema map; no raw provider payload is committed.
tushare_pro,pb,pb,true,not_verified,Review-only schema map; no raw provider payload is committed.
baostock,date,trade_date,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,code,symbol,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,open,open,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,high,high,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,low,low,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,close,close,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,volume,volume,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,amount,amount,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,adjustflag,adjustment_flag,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,turn,turnover,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,tradestatus,trading_status,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,peTTM,pe_ttm,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
baostock,pbMRQ,pb,true,canonical_mapping_available,Review-only schema map; no raw provider payload is committed.
