warning_code,refined_factor_id,regime_label,row_count,details
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__downside_risk_filtered,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__downside_risk_filtered,risk_on_low_vol_review_only,99,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__horizon_specific,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__horizon_specific,risk_on_low_vol_review_only,100,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__liquidity_filtered,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__liquidity_filtered,risk_on_low_vol_review_only,78,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__review_queue_conditioned,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__review_queue_conditioned,liquidity_stress_review_only,234,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__review_queue_conditioned,mixed_uncertain_review_only,494,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__review_queue_conditioned,risk_off_high_vol_review_only,221,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__review_queue_conditioned,risk_on_high_vol_review_only,325,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__review_queue_conditioned,risk_on_low_vol_review_only,26,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__risk_filtered,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_benchmark_relative_strength_20d__risk_filtered,risk_on_low_vol_review_only,92,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,risk_on_low_vol_review_only,99,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__horizon_specific,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__horizon_specific,risk_on_low_vol_review_only,100,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,risk_on_low_vol_review_only,78,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,liquidity_stress_review_only,234,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,mixed_uncertain_review_only,494,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,risk_off_high_vol_review_only,221,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,risk_on_high_vol_review_only,325,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,risk_on_low_vol_review_only,26,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__risk_filtered,insufficient_composite_regime_evidence_review_only,0,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_downside_vol_adjusted_strength_20d__risk_filtered,risk_on_low_vol_review_only,92,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__downside_risk_filtered,insufficient_composite_regime_evidence_review_only,687,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__downside_risk_filtered,risk_on_low_vol_review_only,99,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__horizon_specific,insufficient_composite_regime_evidence_review_only,690,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__horizon_specific,risk_on_low_vol_review_only,100,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__liquidity_filtered,insufficient_composite_regime_evidence_review_only,536,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__liquidity_filtered,risk_on_low_vol_review_only,78,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__review_queue_conditioned,insufficient_composite_regime_evidence_review_only,3,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__review_queue_conditioned,liquidity_stress_review_only,29,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__review_queue_conditioned,mixed_uncertain_review_only,79,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__review_queue_conditioned,risk_off_high_vol_review_only,39,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__review_queue_conditioned,risk_on_high_vol_review_only,85,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__review_queue_conditioned,risk_on_low_vol_review_only,1,Regime-conditional sample is insufficient for a factor readiness decision.
insufficient_regime_conditional_sample,alpha_price_volume_confirmation_5d__risk_filtered,insufficient_composite_regime_evidence_review_only,681,Regime-conditional sample is insufficient for a factor readiness decision.
